Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes
APPAREL,13/11/2024,24,Yellow Sporty Shirt,XL,OUTSIDE,,450,4,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,2XL,INSIDE,,450,1,,
APPAREL,13/11/2024,24,Yellow Sporty Shirt,2XL,OUTSIDE,,450,9,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,XS,INSIDE,,450,20,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,XS,OUTSIDE,,450,8,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,Small,INSIDE,,450,56,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,Small,OUTSIDE,,450,7,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,Medium,INSIDE,,450,18,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,Medium,OUTSIDE,,450,9,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,Large,INSIDE,,450,28,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,Large,OUTSIDE,,450,5,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,XL,INSIDE,,450,38,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,XL,OUTSIDE,,450,3,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,2XL,INSIDE,,450,45,,
APPAREL,13/11/2024,25,Yelow Tiger Pattern,2XL,OUTSIDE,,450,4,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,Small,INSIDE,,800,2,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,Medium,INSIDE,,800,2,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,Medium,OUTSIDE,,800,4,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,XL,INSIDE,,800,8,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,XL,OUTSIDE,,800,5,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,2XL,INSIDE,,800,5,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,2XL,OUTSIDE,,800,3,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,3XL,INSIDE,,800,4,,
APPAREL,13/11/2024,26,White Blaze Polo Shirt,3XL,OUTSIDE,,800,2,,
APPAREL,13/11/2024,27,Black Blaze Polo Shirt,XL,INSIDE,,800,2,,
APPAREL,13/11/2024,27,Black Blaze Polo Shirt,2Xl,INSIDE,,800,1,,
APPAREL,13/11/2024,27,Black Blaze Polo Shirt,3Xl,INSIDE,,800,2,,
APPAREL,13/11/2024,28,Yellow Script Shirt,XS,INSIDE,,450,10,,
APPAREL,13/11/2024,28,Yellow Script Shirt,XS,OUTSIDE,,450,22,,
APPAREL,13/11/2024,28,Yellow Script Shirt,Small,INSIDE,,450,20,,
APPAREL,13/11/2024,28,Yellow Script Shirt,Small,OUTSIDE,,450,19,,
APPAREL,13/11/2024,28,Yellow Script Shirt,Medium,INSIDE,,450,10,,
APPAREL,13/11/2024,28,Yellow Script Shirt,Medium,OUTSIDE,,450,12,,
APPAREL,13/11/2024,28,Yellow Script Shirt,Large,OUTSIDE,,450,10,,
APPAREL,13/11/2024,28,Yellow Script Shirt,XL,OUTSIDE,,450,8,,
APPAREL,13/11/2024,28,Yellow Script Shirt,2XL,OUTSIDE,,450,8,,
APPAREL,13/11/2024,30,White Baseball Shirt,Small,OUTSIDE,,800,3,,
APPAREL,13/11/2024,30,White Baseball Shirt,Medium,INSIDE,,800,18,,
APPAREL,13/11/2024,30,White Baseball Shirt,Medium,OUTSIDE,,800,2,,
APPAREL,13/11/2024,30,White Baseball Shirt,Large,INSIDE,,800,9,,
APPAREL,13/11/2024,30,White Baseball Shirt,XL,OUTSIDE,,800,11,,
APPAREL,13/11/2024,30,White Baseball Shirt,XL,INSIDE,,800,35,,
APPAREL,13/11/2024,30,White Baseball Shirt,2XL,OUTSIDE,,800,4,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,Small,OUTSIDE,,800,5,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,Medium,INSIDE,,800,9,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,Medium,OUTSIDE,,800,4,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,Large,INSIDE,,800,7,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,Large,OUTSIDE,,800,6,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,XL,INSIDE,,800,4,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,XL,OUTSIDE,,800,11,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,2XL,INSIDE,,800,3,,
APPAREL,13/11/2024,31,Gold Baseball Shirt,2Xl,OUTSIDE,,800,5,,
APPAREL,13/11/2024,32,College of Science Shirt (blue/yellow),Small,INSIDE,,375,12,,
APPAREL,13/11/2024,32,College of Science Shirt (blue/yellow),Medium,INSIDE,,375,12,,
