metric_id,product_id,item_name,tier,validation_method,period_scope,n_obs,mae,rmse,mape,naive_mae,naive_rmse,naive_mape,beats_naive_mae,meets_mape_threshold,snapshot_date,mase,naive_mase
104,350,Tiger Paw Keychain @375,standard,walk_forward_30d_aggregate,standard_period,11,67.54545454545455,108.4464677324087,345.6732665242723,217.0909090909091,500.30336251663806,471.1414647232407,1,0.0,2026-07-31,3.1177880680625547,10.020562458322182
105,350,Tiger Paw Keychain @375,standard,walk_forward_30d_aggregate,semestral_break,1,179.0,179.0,99.44444444444444,180.0,180.0,100.0,1,,2026-07-31,3222.0,3240.0
106,352,Tiger Plushie Small,standard,walk_forward_30d_aggregate,overall,12,30.00000000000001,44.557079497351864,260.7774817797444,87.91666666666667,139.11176561791362,222.82087345378483,1,0.0,2026-07-31,5.119995947838541,15.004432569360166
107,352,Tiger Plushie Small,standard,walk_forward_30d_aggregate,standard_period,11,32.0909090909091,46.49046823127981,291.6919746945202,67.9090909090909,111.74687304960098,176.63502109704643,1,0.0,2026-07-31,5.062223680779039,10.71241101853241
108,352,Tiger Plushie Small,standard,walk_forward_30d_aggregate,semestral_break,1,7.0,7.0,13.461538461538462,308.0,308.0,592.3076923076924,1,,2026-07-31,2.8,123.2
109,354,Tiger w/ Box,standard,walk_forward_30d_aggregate,overall,12,40.00000000000001,68.87186169498639,66.48493213710604,107.25,219.00894197878466,452.04678362573105,1,0.0,2026-07-31,8.98433294335082,24.089242704359382
110,354,Tiger w/ Box,standard,walk_forward_30d_aggregate,standard_period,11,41.545454545454554,71.59926358178934,66.48493213710604,117.0,228.7473795180256,452.04678362573105,1,0.0,2026-07-31,8.646462470000511,24.35010327984826
111,354,Tiger w/ Box,standard,walk_forward_30d_aggregate,semestral_break,1,22.999999999999996,22.999999999999996,,0.0,0.0,,0,,2026-07-31,18.0,0.0
112,356,Tote (Viva),standard,walk_forward_30d_aggregate,overall,12,9.499999999999996,24.14539293529927,16.900356952988517,6.166666666666667,13.934369977385654,32.29892914103441,0,1.0,2026-07-31,0.3745370056765837,0.2431205124567299
113,356,Tote (Viva),standard,walk_forward_30d_aggregate,standard_period,11,10.36363636363636,25.21904042583698,16.900356952988517,6.7272727272727275,14.55397477729647,32.29892914103441,0,1.0,2026-07-31,0.4133126668706261,0.26829067849496796
114,356,Tote (Viva),standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
