Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes,canonical_item_name
APPAREL,2024-11-13,19.0,Black Happy Tiger,XL,OUTSIDE,,450.0,3.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,2XL,INSIDE,,450.0,26.0,,,Black Happy Tiger
APPAREL,2024-11-13,19.0,Black Happy Tiger,2XL,OUTSIDE,,450.0,4.0,,,Black Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,XS,INSIDE,,450.0,19.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,XS,OUTSIDE,,450.0,8.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,Small,INSIDE,,450.0,8.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,Small,OUTSIDE,,450.0,16.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,Medium,INSIDE,,450.0,10.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,Medium,OUTSIDE,,450.0,4.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,Large,INSIDE,,450.0,10.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,Large,OUTSIDE,,450.0,18.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,2XL,INSIDE,,450.0,8.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,20.0,Yellow Happy Tiger,2XL,OUTSIDE,,450.0,24.0,,,Yellow Happy Tiger
APPAREL,2024-11-13,21.0,Black Oat Shirt,XS,OUTSIDE,,375.0,7.0,,,Black Oat Shirt
APPAREL,2024-11-13,21.0,Black Oat Shirt,Small,OUTSIDE,,375.0,9.0,,,Black Oat Shirt
APPAREL,2024-11-13,21.0,Black Oat Shirt,Small,INSIDE,,375.0,10.0,,,Black Oat Shirt
APPAREL,2024-11-13,21.0,Black Oat Shirt,Medium,OUTSIDE,,375.0,8.0,,,Black Oat Shirt
APPAREL,2024-11-13,21.0,Black Oat Shirt,Medium,INSIDE,,375.0,8.0,,,Black Oat Shirt
